ISO3_code,Location,Time,n_male_dependent,n_male_working,n_female_dependent,n_female_working,n_total_dependent,n_total_working,r_male_dependent,r_male_working,r_female_dependent,r_female_working,r_total_dependent,r_total_working,time_period
AUS,Australia,2046,5770586,9842637,6122510,9667374,11893096,19510011,0.5862845495571969,1.7056564099382627,0.6333167621320951,1.5789886827461286,0.6095894051520525,1.6404484585006291,projected
AUS,Australia,2047,5831174,9874646,6185532,9693393,12016706,19568039,0.5905198019250513,1.6934233140702029,0.638118355461292,1.5671074048279112,0.6140986329800344,1.6284029084176646,projected
AUS,Australia,2048,5896508,9900595,6253548,9712591,12150056,19613186,0.5955710742637185,1.6790607254327476,0.6438599133845953,1.553132877528085,0.6194840552677163,1.6142465516208322,projected
AUS,Australia,2049,5963932,9922681,6324574,9726744.999999998,12288506,19649426,0.6010403841461798,1.663781713138245,0.6502251266996308,1.537928878688114,0.625387530404196,1.5990085369205989,projected
AUS,Australia,2050,6031207,9943350,6396418,9738160,12427625,19681510,0.6065568445242298,1.6486500960752963,0.6568405119652994,1.5224395904082566,0.6314365615239889,1.58369036722624,projected
AUS,Australia,2051,6099313,9961375,6469564,9746451,12568877,19707826,0.612296294437264,1.6331962304607093,0.6637866439794341,1.5065081665472357,0.6377607048083335,1.5679862250223309,projected
AUS,Australia,2052,6167430,9977868,6542414,9753282,12709844,19731150,0.6181110032724426,1.6178323872342288,0.6707910219349753,1.4907772574465632,0.6441512025401458,1.5524305412403177,projected
AUS,Australia,2053,6235305,9993392,6615345,9758984,12850650,19752376,0.6239428014031673,1.6027110141364376,0.677872307199192,1.4752040898849568,0.6505875546314023,1.537072132538043,projected
AUS,Australia,2054,6305303,10006202,6689961,9762068,12995264.000000002,19768270,0.6301394874898588,1.5869502226935008,0.6853016184685459,1.4592114961507248,0.6573799325889418,1.5211903351867264,projected
AUS,Australia,2055,6377497,10015398,6765941,9762416,13143438,19777814,0.636769202781557,1.5704277085508622,0.6930600990574465,1.4428763124005959,0.6645546368269012,1.5047671697466065,projected
AUS,Australia,2056,6450622,10022139,6841378,9761696,13292000,19783835,0.6436372514889287,1.5536701732019018,0.7008390755049122,1.4268610797415375,0.6718616486641746,1.4884016701775504,projected
AUS,Australia,2057,6522573,10028958,6913416,9763065,13435989,19792023,0.6503739471239186,1.5375769654092029,0.7081194276592443,1.4121911656986936,0.6788588008411267,1.4730603753843503,projected
AUS,Australia,2058,6594997,10035161,6983300,9766523,13578297,19801684,0.6571889579051099,1.521632382850212,0.7150241698094604,1.3985541219767157,0.6857142554138325,1.4583333977744042,projected
AUS,Australia,2059,6668780,10038272,7051982,9769508,13720762,19807780,0.6643354553453024,1.5052636314288372,0.72183594097062,1.385356343791008,0.6926955973864816,1.4436355648469086,projected
AUS,Australia,2060,6744931,10038070,7121353,9771010,13866284,19809080,0.6719350432901942,1.4882390939210497,0.728824655793004,1.372072132921932,0.6999963653031841,1.4285788463585487,projected
AUS,Australia,2061,6817407,10040250,7187248,9774908,14004655,19815158,0.6790076940315232,1.4727373618738033,0.7352752578336287,1.3600348840056722,0.7067647404073185,1.4148979749947428,projected
AUS,Australia,2062,6881864,10050137,7246334,9785309,14128198,19835446,0.6847532526173523,1.460380065633381,0.7405319545862068,1.3503806200487032,0.7122702459022097,1.4039614960096114,projected
AUS,Australia,2063,6941368,10063543,7300987,9798870,14242355,19862413,0.6897538968134782,1.4497924616588544,0.7450845862839286,1.3421294956421645,0.7170505919900064,1.3946017354573734,projected
AUS,Australia,2064,7000431,10076677,7353973,9813510,14354404,19890187,0.6947162244061211,1.4394366575429427,0.7493723448592807,1.3344500992864674,0.7216827071560463,1.3856504944405912,projected
AUS,Australia,2065,7057656,10090330,7405643,9828680,14463299,19919010,0.6994474908154639,1.429699889028312,0.7534727959400448,1.3271879295288742,0.7261053134668842,1.3772106903134615,projected
AUS,Australia,2066,7108724,10109474,7453137,9847796,14561861,19957270,0.7031744678308683,1.4221221698859037,0.7568330010085504,1.3212954491511428,0.7296519513941536,1.3705164470392899,projected
AUS,Australia,2067,7153343,10133891,7495083,9871484,14648426,20005375,0.7058831597853185,1.4166650473771494,0.7592660840052011,1.3170613320759759,0.7322245146616847,1.3657013388332644,projected
AUS,Australia,2068,7195040,10159803,7535099,9896198,14730139,20056001,0.7081869599243213,1.4120565000333563,0.7614135246687668,1.3133467788545312,0.7344504520118442,1.3615622364459699,projected
AUS,Australia,2069,7237582,10184737,7575473,9920501,14813055,20105238,0.7106302303142439,1.407201604071636,0.7636179866319251,1.309555324136196,0.7367759088452471,1.3572647910913718,projected
AUS,Australia,2070,7282162,10206909,7617388,9942706,14899550,20149615,0.7134541906859364,1.4016316857548623,0.7661282552254889,1.3052644817357342,0.7394458901572064,1.3523639975703965,projected
AUS,Australia,2071,7329231,10224876,7662565,9960279,14991796,20185155,0.7168039006047604,1.3950816941095185,0.7693122853285534,1.2998622523919863,0.7427139400217636,1.346413398368014,projected
AUS,Australia,2072,7380001.999999999,10237164.999999998,7712227,9972038,15092229,20209203,0.720902906224526,1.3871493530760561,0.7733852398075498,1.293016660427656,0.7467998119470619,1.3390469360092536,projected
AUS,Australia,2073,7432024,10246823,7763494,9980864,15195518,20227686.999999996,0.7253003199137918,1.3787392236623564,0.7778378705490827,1.2856149563585675,0.7512237063980672,1.331161399038848,projected
AUS,Australia,2074,7484489,10255052,7815398,9988301,15299887,20243353,0.7298343294602504,1.370173969124679,0.7824551943318488,1.2780284510142668,0.7557980636903383,1.3231047392702964,projected
AUS,Australia,2075,7536855,10262234,7867212,9994559,15404067,20256793,0.734426344205365,1.361606930211607,0.7871494880364407,1.2704067209578183,0.7604395720487442,1.315028881658331,projected
AUS,Australia,2076,7588834,10268371,7919170,9999645,15508004,20268016,0.7390494558484496,1.3530894205881956,0.7919451140515488,1.2627137692460195,0.7651466231327231,1.3069390490226853,projected
AUS,Australia,2077,7638809,10274893,7968617,10005306,15607426,20280199,0.7434441409754827,1.3450909690240977,0.7964391094085478,1.2555887677874342,0.7695893911100181,1.299394211447807,projected
AUS,Australia,2078,7688294,10279976,8017615,10009748,15705909,20289724,0.7478902674480952,1.3370945491938784,0.8009807040097313,1.248469526162082,0.7740819441407878,1.291852894346962,projected
AUS,Australia,2079,7735989.000000001,10285609,8064470,10014568,15800459,20300177,0.7521177404274263,1.329579062224623,0.8052738770159632,1.241813535173421,0.7783409474705566,1.284784005325415,projected
AUS,Australia,2080,7781425,10292360,8108609,10020359,15890034,20312719,0.7560389453925047,1.322683184635205,0.8092134223933494,1.235767935042866,0.7822701628472288,1.2783307449184818,projected
AUS,Australia,2081,7827695,10297454,8152935,10024906,15980630,20322360,0.7601582876699425,1.3155154869984076,0.8132679747820079,1.2296070065565345,0.7863569979077233,1.2716870361181005,projected
AUS,Australia,2082,7870149,10304617,8193237.999999999,10031815,16063387,20336432,0.7637497832282365,1.3093293405245567,0.8167253881775132,1.224401756668121,0.7898822664664087,1.266011458231069,projected
